"Name","State","Notes","User","Tags","Created","Runtime","Sweep","d_units","in_channels","output_size","projected","rp_gen_algorithm","epoch","train_acc","train_loss","train_time_step","trainer/global_step","val_acc","val_loss","val_time_step"
"CNN_Proj_17k","finished","-","adrianrob","","2022-11-07T21:59:34.000Z","964","","[250,1500,12500,2250,500]","3","10","true","gaussian","30","0.640625","0.952585220336914","10.91814422607422","19374","0.5828999876976013","1.2192466259002686","11.140278816223145"
"CNN_Proj_9k","finished","-","adrianrob","","2022-11-07T21:20:06.000Z","731","","[250,1500,5000,2000,250]","3","10","true","gaussian","20","0.609375","1.1819454431533811","6.613952159881592","13124","0.5830000042915344","1.18059504032135","6.2959370613098145"
"CNN_Full_62k","finished","-","adrianrob","","2022-11-07T15:24:29.000Z","572","","[10,15,45,20,10]","3","10","false","gaussian","20","0.5625","1.0703730583190918","1.3465280532836914","13124","0.6151000261306763","1.19197416305542","1.6823155879974363"
"CNN_Full_62k","finished","-","adrianrob","","2022-11-07T15:14:51.000Z","440","","[10,15,45,20,10]","3","10","false","gaussian","15","0.765625","0.7119344472885132","0.8872640132904053","9999","0.6140999794006348","1.1363414525985718","1.5155937671661377"
"CNN_Proj_100","finished","-","adrianrob","","2022-11-07T14:57:57.000Z","934","","[10,15,45,20,10]","3","10","true","gaussian","33","0.328125","1.8077527284622192","1.206976056098938","21249","0.3082999885082245","1.9050816297531128","2.8193414211273193"
"CNN_Proj_300","finished","-","adrianrob","","2022-11-07T14:40:33.000Z","939","","[25,25,150,75,25]","3","10","true","gaussian","33","0.46875","1.6350678205490112","1.2922879457473757","21249","0.3912000060081482","1.702268362045288","2.016453981399536"
"CNN_Proj_750","finished","-","adrianrob","","2022-11-07T14:31:50.000Z","452","","[50,100,400,150,50]","3","10","true","gaussian","15","0.359375","1.578364372253418","1.475808024406433","9999","0.43140000104904175","1.5488576889038086","2.0595383644104004"
"CNN_Proj_2k","finished","-","adrianrob","","2022-11-07T14:15:48.000Z","938","","[100,400,900,400,200]","3","10","true","gaussian","33","0.546875","1.3300689458847046","1.6445759534835815","21249","0.529699981212616","1.3116719722747805","2.3397555351257324"
"CNN_Proj_3.5k","finished","-","adrianrob","","2022-11-07T13:58:40.000Z","936","","[200,500,2000,500,300]","3","10","true","gaussian","33","0.578125","1.2456475496292114","2.515199899673462","21249","0.5516999959945679","1.261778712272644","3.1044516563415527"
"CNN_Proj_6k","finished","-","adrianrob","","2022-11-07T13:30:55.000Z","1100","","[200,500,4000,1000,300]","3","10","true","gaussian","38","0.71875","0.8512847423553467","4.49567985534668","24374","0.588699996471405","1.190801024436951","4.767946243286133"